order_id,created_time,delivered_time,customer_node,quantity,warehouse_id,warehouse_node,vehicle_id,travel_distance,travel_time,delay,stockout,cost
26,145.44360542844765,188.51439427479949,C5,5,W1,W1,V4,22.985603931394966,23.235603931394966,43.07078884635183,0,22.985603931394966
17,67.85207912968306,199.75286858714085,C0,3,W2,W2,V2,12.188944607806938,12.438944607806938,131.9007894574578,0,12.188944607806938
41,203.78935651037523,,C0,5,,,,0.0,0.0,,1,50.0
27,148.3767638647289,211.01488978124485,C8,4,W1,W1,V4,22.25049550644535,22.50049550644535,62.638125916515946,0,22.25049550644535
42,215.69567839862168,,C9,4,,,,0.0,0.0,,1,50.0
43,215.98819265103964,,C9,3,,,,0.0,0.0,,1,50.0
44,217.72810183023705,,C6,3,,,,0.0,0.0,,1,50.0
18,73.47456301518892,226.04655778600926,C8,5,W2,W2,V2,26.04368919886842,26.29368919886842,152.57199477082034,0,26.04368919886842
28,148.46607760972245,233.5153852876902,C8,4,W1,W1,V4,22.25049550644535,22.50049550644535,85.04930767796776,0,22.25049550644535
19,81.97004940656322,237.86408099852576,C3,1,W2,W2,V2,11.567523212516502,11.817523212516502,155.89403159196254,0,11.567523212516502
29,153.38439717787307,239.9327940453446,C4,1,W1,W1,V4,6.167408757654375,6.417408757654375,86.54839686747152,0,6.167408757654375
21,107.46488847080695,251.39924964156657,C11,1,W0,W0,V2,13.285168643040814,13.535168643040814,143.93436117075962,0,13.285168643040814
46,253.68703558735785,,C1,4,,,,0.0,0.0,,1,50.0
30,157.73341007577088,258.1960242251536,C10,1,W1,W1,V4,18.013230179809007,18.263230179809007,100.46261414938274,0,18.013230179809007
47,262.7002886138139,,C8,4,,,,0.0,0.0,,1,50.0
48,263.4726258544614,,C9,4,,,,0.0,0.0,,1,50.0
22,111.42422025338925,270.75258071177905,C5,4,W2,W2,V2,19.10333107021248,19.35333107021248,159.3283604583898,0,19.10333107021248
32,159.67913363838798,280.696519731599,C8,1,W1,W1,V4,22.25049550644535,22.50049550644535,121.017386093211,0,22.25049550644535
50,281.09487401322104,,C8,3,,,,0.0,0.0,,1,50.0
49,271.8431598905106,287.11392848925334,C4,1,W1,W1,V4,6.167408757654375,6.417408757654375,15.270768598742734,0,6.167408757654375
24,123.12756662521346,290.6076838804622,C10,2,W0,W0,V2,19.605103168683186,19.855103168683186,167.48011725524876,0,19.605103168683186
51,301.6202429840614,,C8,2,,,,0.0,0.0,,1,50.0
52,301.764048566865,,C10,4,,,,0.0,0.0,,1,50.0
53,308.085678605057,,C3,6,,,,0.0,0.0,,1,50.0
31,158.30006555389733,313.6605100042736,C3,3,W0,W0,V2,22.80282612381141,23.05282612381141,155.36044445037626,0,22.80282612381141
55,323.0178102220317,,C7,3,,,,0.0,0.0,,1,50.0
56,325.0278071277596,,C5,5,,,,0.0,0.0,,1,50.0
57,329.3739356015072,,C8,5,,,,0.0,0.0,,1,50.0
33,162.28632184554186,329.397032914374,C2,2,W0,W0,V2,15.486522910100415,15.736522910100415,167.11071106883213,0,15.486522910100415
58,337.39373317554913,,C3,5,,,,0.0,0.0,,1,50.0
59,342.68561834753496,,C9,2,,,,0.0,0.0,,1,50.0
60,347.1120663311922,,C8,6,,,,0.0,0.0,,1,50.0
61,348.63882999075867,,C5,1,,,,0.0,0.0,,1,50.0
62,348.78092239486887,,C5,1,,,,0.0,0.0,,1,50.0
34,168.13036450443002,354.2545908920688,C3,6,W0,W0,V2,24.607557977694807,24.857557977694807,186.12422638763877,0,24.607557977694807
63,355.8638154828034,,C7,1,,,,0.0,0.0,,1,50.0
64,360.3406978722079,,C11,5,,,,0.0,0.0,,1,50.0
65,362.7498350286955,,C11,5,,,,0.0,0.0,,1,50.0
66,365.0173275365101,,C10,5,,,,0.0,0.0,,1,50.0
67,377.456752180385,,C11,1,,,,0.0,0.0,,1,50.0
68,377.67515450426544,,C9,2,,,,0.0,0.0,,1,50.0
35,179.43706698199566,378.0100609503906,C8,4,W0,W0,V2,23.505470058321826,23.755470058321826,198.57299396839494,0,23.505470058321826
69,384.1797047673254,,C4,3,,,,0.0,0.0,,1,50.0
70,388.20785819395195,,C2,3,,,,0.0,0.0,,1,50.0
71,389.53618843675105,,C8,3,,,,0.0,0.0,,1,50.0
36,180.30598471618464,398.98378282958,C7,2,W0,W0,V2,20.723721879189387,20.973721879189387,218.67779811339534,0,20.723721879189387
72,412.86291238090377,,C8,4,,,,0.0,0.0,,1,50.0
37,180.9390376789359,413.2212345426157,C10,2,W0,W0,V2,13.98745171303573,14.23745171303573,232.28219686367981,0,13.98745171303573
38,183.42993035826507,437.7118130258872,C5,2,W0,W0,V2,24.240578483271445,24.490578483271445,254.2818826676221,0,24.240578483271445
73,447.6904862578447,,C4,5,,,,0.0,0.0,,1,50.0
40,202.7389444392017,456.86463312457545,C11,2,W0,W0,V2,18.90282009868827,19.15282009868827,254.12568868537375,0,18.90282009868827
45,243.5478998144273,470.15614031334627,C0,2,W0,W0,V2,13.041507188770828,13.291507188770828,226.60824049891897,0,13.041507188770828
74,478.99702897233357,,C6,2,,,,0.0,0.0,,1,50.0
75,482.93305952736887,,C6,5,,,,0.0,0.0,,1,50.0
54,320.19425651702227,491.5103146790941,C2,1,W2,W2,V2,21.10417436574787,21.35417436574787,171.31605816207184,0,21.10417436574787
76,492.59344415457133,,C8,1,,,,0.0,0.0,,1,50.0
77,497.55347055853105,,C8,6,,,,0.0,0.0,,1,50.0
78,499.63392770009466,,C0,2,,,,0.0,0.0,,1,50.0
